Transaction Hash,Date,From,From_name,From_category,To,To_name,To_category,Value,DOT_USD,Symbol,Acquainted?
0x4b08bda8cbb381e363f4861b6ad4771af95670b90f7f3a131782c7191ae48797,2022-08-23,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x5d609c79c7e19aa334d77517b3b17a3dac6f54bc,Docs SG,Docs,-25000.0,-24995.22,USDC,1
0xd1809319fa2aadb6884d723f80b8be6763ea9345834c086ea7cc41e3e240b317,2022-08-23,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x593a50cf05359bc88474d86b06ec6e1c1a2a899f,Websites SG,Websites,-25000.0,-24995.22,USDC,1
0x6961d431f87fb4bcee0dbaf39efea69c21eb60b9f2a94d5cbfd6bfcc3f15ecec,2022-08-23,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x6a016548310076285668e2378df70bd545396b5a,Builders SG,Builders,-2000.0,-27259.46,ENS,1
0x6961d431f87fb4bcee0dbaf39efea69c21eb60b9f2a94d5cbfd6bfcc3f15ecec,2022-08-23,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x6a016548310076285668e2378df70bd545396b5a,Builders SG,Builders,-50000.0,-49990.43,USDC,1
0x829b1655e1a5b2c338d983dc9dd6535f6c33fc0f9c7a563a0a1505458d7be448,2022-08-23,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0xba0c461b22d918fb1f52fef556310230d177d1f2,Gitcoin Grants SG,Gitcoin Grants,-138000.0,-137973.59,USDC,1
0x4d54b17ebfff8b077dfd914fbce6d4da1fa15ac3b3dc639854535ff226fb84f0,2022-08-23,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x9b9c249be04dd433c7e8fbbf5e61e6741b89966d,Hackathons SG ,Hackathons,-1500.0,-20444.6,ENS,1
0x9f67cb4d8f22af403498ab057c4f86f85c27c3da840b6f645af30d068f3cc6ea,2022-08-24,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x8e900cf9bd655e34bb610f0ef365d8d476fd7337,Nimi,Eco. Grants,-100.0,-1384.27,ENS,1
0xa7675915b1943fb465c7a5122cb23e3eca487a9cb04e3244aaf532969c0a451e,2022-08-26,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0xc4438a52513e198928a6d57886fb9296b68a7b06,Nimi,Eco. Grants,-100.0,-1241.6,ENS,1
0xa7675915b1943fb465c7a5122cb23e3eca487a9cb04e3244aaf532969c0a451e,2022-08-26,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0xc4438a52513e198928a6d57886fb9296b68a7b06,Nimi,Eco. Grants,-8000.0,-8020.06,USDC,1
0x306ec88c1c1df3221e212163d6707f929521d99fa6f88cac80e6d8d81a910397,2022-09-09,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0xcd18eaa163733da39c232722cbc4e8940b1d8888,gregskril.eth,Fellowship,-49990.3488,-50030.09,USDC,1
